model,loss,learning_rate,n_iterations,train_loss,train_accuracy,test_accuracy,test_precision_macro,weight_norm_l2,weight_update_norm_l2,fit_time_ms,peak_memory_kb
Линейная регрессия (MSE),mse,0.1,10,0.280154,0.8571,0.7556,0.7803,0.6644,0.01936463,3.494,25.96
Линейная регрессия (MSE),mse,0.1,20,0.268874,0.8762,0.7556,0.7667,0.7332,0.00751439,7.351,27.98
Линейная регрессия (MSE),mse,0.1,30,0.264822,0.8857,0.7333,0.7384,0.757,0.00565918,10.814,30.98
Линейная регрессия (MSE),mse,0.1,40,0.262365,0.8857,0.7333,0.7384,0.7748,0.00447246,13.481,34.16
Линейная регрессия (MSE),mse,0.1,50,0.260791,0.8857,0.7556,0.7593,0.7903,0.00362131,17.297,37.45
Линейная регрессия (MSE),mse,0.1,60,0.259728,0.8857,0.7556,0.7593,0.8038,0.00301724,19.998,40.74
Линейная регрессия (MSE),mse,0.1,70,0.258964,0.8857,0.8,0.8056,0.8155,0.00259306,23.58,44.02
Линейная регрессия (MSE),mse,0.1,80,0.25838,0.8857,0.8,0.8056,0.8256,0.00229588,26.255,47.97
Линейная регрессия (MSE),mse,0.1,90,0.25791,0.8857,0.8,0.8056,0.8346,0.00208524,30.334,51.23
Линейная регрессия (MSE),mse,0.1,100,0.257512,0.8857,0.8,0.8056,0.8427,0.00193164,33.315,55.17
Softmax-регрессия (log-loss),logloss,0.5,10,0.368795,0.9048,0.8222,0.8341,1.6739,0.07695967,4.926,35.45
Softmax-регрессия (log-loss),logloss,0.5,20,0.300371,0.9238,0.8222,0.825,2.2211,0.04924872,7.98,37.63
Softmax-регрессия (log-loss),logloss,0.5,30,0.263024,0.9333,0.8444,0.8452,2.6141,0.03960624,11.758,40.77
Softmax-регрессия (log-loss),logloss,0.5,40,0.236609,0.9524,0.8444,0.8452,2.9398,0.03420045,16.379,43.95
Softmax-регрессия (log-loss),logloss,0.5,50,0.216195,0.9524,0.8444,0.8452,3.226,0.03040484,19.268,47.24
Softmax-регрессия (log-loss),logloss,0.5,60,0.199757,0.9619,0.8667,0.8667,3.4844,0.02745763,22.703,50.53
Softmax-регрессия (log-loss),logloss,0.5,70,0.186185,0.9714,0.8667,0.8667,3.721,0.02505728,25.992,53.82
Softmax-регрессия (log-loss),logloss,0.5,80,0.174777,0.981,0.8667,0.8667,3.9398,0.02305046,29.339,57.77
Softmax-регрессия (log-loss),logloss,0.5,90,0.16505,0.981,0.8667,0.8667,4.1434,0.02134401,33.423,61.15
Softmax-регрессия (log-loss),logloss,0.5,100,0.156656,0.981,0.8667,0.8667,4.3339,0.01987463,36.934,65.09
