model,loss,learning_rate,n_iterations,train_loss,train_accuracy,test_accuracy,test_precision_macro,weight_norm_l2,weight_update_norm_l2,fit_time_ms,peak_memory_kb
Линейная регрессия (MSE),mse,0.1,10,0.132825,0.9665,0.9126,0.9444,0.7528,0.02809538,6.732,43.99
Линейная регрессия (MSE),mse,0.1,20,0.106858,0.9749,0.9903,0.9928,0.8697,0.01017955,13.28,46.32
Линейная регрессия (MSE),mse,0.1,30,0.101991,0.9749,0.9903,0.9928,0.9109,0.00497911,20.1,49.33
Линейная регрессия (MSE),mse,0.1,40,0.10075,0.9749,0.9903,0.9928,0.9302,0.00258489,25.742,52.52
Линейная регрессия (MSE),mse,0.1,50,0.100397,0.9791,0.9903,0.9928,0.94,0.00142282,30.828,55.82
Линейная регрессия (MSE),mse,0.1,60,0.100282,0.9791,0.9903,0.9928,0.9451,0.00085608,38.774,59.12
Линейная регрессия (MSE),mse,0.1,70,0.100235,0.9791,0.9903,0.9928,0.9478,0.00057022,46.751,62.42
Линейная регрессия (MSE),mse,0.1,80,0.100213,0.9791,0.9903,0.9928,0.9493,0.00041159,53.162,66.37
Линейная регрессия (MSE),mse,0.1,90,0.1002,0.9791,0.9903,0.9928,0.9502,0.00031129,58.728,69.63
Линейная регрессия (MSE),mse,0.1,100,0.100193,0.9791,0.9903,0.9928,0.9507,0.00024072,65.445,73.59
Softmax-регрессия (log-loss),logloss,0.5,10,0.227517,0.9623,0.9029,0.9394,1.8287,0.08357594,8.689,64.35
Softmax-регрессия (log-loss),logloss,0.5,20,0.155605,0.9749,0.9709,0.9688,2.3883,0.04748274,14.289,66.54
Softmax-регрессия (log-loss),logloss,0.5,30,0.124884,0.9791,0.9806,0.9767,2.7524,0.03416482,21.628,69.69
Softmax-регрессия (log-loss),logloss,0.5,40,0.107031,0.9791,0.9806,0.9767,3.0285,0.02711807,28.932,72.88
Softmax-регрессия (log-loss),logloss,0.5,50,0.095063,0.9791,0.9903,0.9848,3.2541,0.02269434,36.241,76.18
Softmax-регрессия (log-loss),logloss,0.5,60,0.086354,0.9791,0.9903,0.9848,3.4466,0.0196282,43.118,79.48
Softmax-регрессия (log-loss),logloss,0.5,70,0.079666,0.9833,0.9903,0.9848,3.6154,0.01736228,50.675,82.77
Softmax-регрессия (log-loss),logloss,0.5,80,0.074333,0.9833,0.9903,0.9848,3.7665,0.01561125,57.218,86.73
Softmax-регрессия (log-loss),logloss,0.5,90,0.069959,0.9833,0.9903,0.9848,3.9037,0.01421298,64.896,90.12
Softmax-регрессия (log-loss),logloss,0.5,100,0.066292,0.9833,0.9903,0.9848,4.0297,0.01306801,72.798,94.07
