iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_Adelie,test_precision_Chinstrap,test_precision_Gentoo
1,0.671739,0.912134,0.943259,0.521997,0.515093,0.68062,0.84466,0.907895,0.75,1.0,0.973684
2,0.508986,0.937238,0.958678,0.828222,0.310318,0.524036,0.883495,0.929825,0.789474,1.0,1.0
3,0.423046,0.937238,0.958678,1.042593,0.219899,0.442452,0.883495,0.929825,0.789474,1.0,1.0
4,0.368055,0.941423,0.961111,1.209597,0.173384,0.390355,0.893204,0.934524,0.803571,1.0,1.0
5,0.328944,0.941423,0.961111,1.347864,0.144959,0.353045,0.893204,0.934524,0.803571,1.0,1.0
6,0.299304,0.941423,0.961111,1.466703,0.125483,0.324415,0.893204,0.934524,0.803571,1.0,1.0
7,0.275886,0.941423,0.961111,1.571401,0.111099,0.301444,0.893204,0.934524,0.803571,1.0,1.0
8,0.256826,0.958159,0.971264,1.665264,0.099934,0.282433,0.893204,0.934524,0.803571,1.0,1.0
9,0.240961,0.958159,0.971264,1.750507,0.090963,0.266337,0.893204,0.934524,0.803571,1.0,1.0
10,0.227517,0.962343,0.973913,1.828704,0.083576,0.25247,0.902913,0.939394,0.818182,1.0,1.0
11,0.215957,0.962343,0.973913,1.901017,0.077376,0.240352,0.912621,0.944444,0.833333,1.0,1.0
12,0.205894,0.970711,0.979351,1.968332,0.072096,0.229642,0.92233,0.949686,0.849057,1.0,1.0
13,0.197042,0.970711,0.979351,2.031345,0.067541,0.220084,0.92233,0.949686,0.849057,1.0,1.0
14,0.189183,0.974895,0.982143,2.090614,0.063573,0.211484,0.951456,0.966667,0.9,1.0,1.0
15,0.182151,0.974895,0.982143,2.14659,0.060084,0.203691,0.941748,0.946379,0.897959,0.941176,1.0
16,0.175814,0.974895,0.982143,2.19965,0.056992,0.196586,0.941748,0.946379,0.897959,0.941176,1.0
17,0.170067,0.974895,0.982143,2.250106,0.054232,0.190073,0.951456,0.953704,0.916667,0.944444,1.0
18,0.164828,0.974895,0.982143,2.298224,0.051754,0.184073,0.961165,0.96118,0.93617,0.947368,1.0
19,0.160026,0.974895,0.982143,2.344228,0.049515,0.178524,0.970874,0.968841,0.956522,0.95,1.0
20,0.155605,0.974895,0.982143,2.388314,0.047483,0.173371,0.970874,0.968841,0.956522,0.95,1.0
21,0.151519,0.974895,0.982143,2.430651,0.045629,0.16857,0.980583,0.97672,0.977778,0.952381,1.0
22,0.147728,0.974895,0.982143,2.471384,0.043931,0.164083,0.980583,0.97672,0.977778,0.952381,1.0
23,0.1442,0.974895,0.982143,2.510645,0.04237,0.159877,0.980583,0.97672,0.977778,0.952381,1.0
24,0.140904,0.974895,0.982143,2.548545,0.040929,0.155924,0.980583,0.97672,0.977778,0.952381,1.0
25,0.137818,0.974895,0.982143,2.585188,0.039594,0.152202,0.980583,0.97672,0.977778,0.952381,1.0
26,0.134921,0.979079,0.984985,2.620662,0.038355,0.148687,0.980583,0.97672,0.977778,0.952381,1.0
27,0.132193,0.979079,0.984985,2.655048,0.0372,0.145363,0.980583,0.97672,0.977778,0.952381,1.0
28,0.12962,0.979079,0.984985,2.68842,0.036122,0.142213,0.980583,0.97672,0.977778,0.952381,1.0
29,0.127188,0.979079,0.984985,2.720842,0.035112,0.139224,0.980583,0.97672,0.977778,0.952381,1.0
30,0.124884,0.979079,0.984985,2.752374,0.034165,0.136381,0.980583,0.97672,0.977778,0.952381,1.0
31,0.122698,0.979079,0.984985,2.783069,0.033274,0.133674,0.980583,0.97672,0.977778,0.952381,1.0
32,0.12062,0.979079,0.984985,2.812976,0.032434,0.131094,0.980583,0.97672,0.977778,0.952381,1.0
33,0.118642,0.979079,0.984985,2.84214,0.031641,0.12863,0.980583,0.97672,0.977778,0.952381,1.0
34,0.116755,0.979079,0.984985,2.870603,0.030891,0.126274,0.980583,0.97672,0.977778,0.952381,1.0
35,0.114954,0.979079,0.984985,2.898401,0.03018,0.124021,0.980583,0.97672,0.977778,0.952381,1.0
36,0.113232,0.979079,0.984985,2.925569,0.029506,0.121861,0.980583,0.97672,0.977778,0.952381,1.0
37,0.111583,0.979079,0.984985,2.952139,0.028865,0.119791,0.980583,0.97672,0.977778,0.952381,1.0
38,0.110003,0.979079,0.984985,2.978142,0.028254,0.117803,0.980583,0.97672,0.977778,0.952381,1.0
39,0.108487,0.979079,0.984985,3.003603,0.027673,0.115893,0.980583,0.97672,0.977778,0.952381,1.0
40,0.107031,0.979079,0.984985,3.028548,0.027118,0.114057,0.980583,0.97672,0.977778,0.952381,1.0
41,0.10563,0.979079,0.984985,3.053002,0.026588,0.112289,0.980583,0.97672,0.977778,0.952381,1.0
42,0.104283,0.979079,0.984985,3.076985,0.026081,0.110587,0.980583,0.97672,0.977778,0.952381,1.0
43,0.102984,0.979079,0.984985,3.100519,0.025595,0.108945,0.990291,0.984848,1.0,0.954545,1.0
44,0.101733,0.979079,0.984985,3.123623,0.02513,0.107363,0.990291,0.984848,1.0,0.954545,1.0
45,0.100525,0.979079,0.984985,3.146314,0.024683,0.105835,0.990291,0.984848,1.0,0.954545,1.0
46,0.099358,0.979079,0.984985,3.168609,0.024254,0.104359,0.990291,0.984848,1.0,0.954545,1.0
47,0.098231,0.979079,0.984985,3.190524,0.023842,0.102932,0.990291,0.984848,1.0,0.954545,1.0
48,0.097141,0.979079,0.984985,3.212074,0.023445,0.101553,0.990291,0.984848,1.0,0.954545,1.0
49,0.096085,0.979079,0.984985,3.233273,0.023063,0.100218,0.990291,0.984848,1.0,0.954545,1.0
50,0.095063,0.979079,0.984985,3.254134,0.022694,0.098925,0.990291,0.984848,1.0,0.954545,1.0
51,0.094073,0.979079,0.984985,3.274669,0.022339,0.097673,0.990291,0.984848,1.0,0.954545,1.0
52,0.093113,0.979079,0.984985,3.294889,0.021996,0.09646,0.990291,0.984848,1.0,0.954545,1.0
53,0.092181,0.979079,0.984985,3.314807,0.021665,0.095283,0.990291,0.984848,1.0,0.954545,1.0
54,0.091276,0.979079,0.984985,3.334432,0.021345,0.094142,0.990291,0.984848,1.0,0.954545,1.0
55,0.090398,0.979079,0.984985,3.353775,0.021036,0.093034,0.990291,0.984848,1.0,0.954545,1.0
56,0.089544,0.979079,0.984985,3.372844,0.020736,0.091958,0.990291,0.984848,1.0,0.954545,1.0
57,0.088713,0.979079,0.984985,3.391649,0.020446,0.090913,0.990291,0.984848,1.0,0.954545,1.0
58,0.087906,0.979079,0.984985,3.410198,0.020165,0.089897,0.990291,0.984848,1.0,0.954545,1.0
59,0.087119,0.979079,0.984985,3.428499,0.019892,0.088909,0.990291,0.984848,1.0,0.954545,1.0
60,0.086354,0.979079,0.984985,3.44656,0.019628,0.087949,0.990291,0.984848,1.0,0.954545,1.0
