iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_Adelie,test_precision_Chinstrap,test_precision_Gentoo
1,0.553172,0.878661,0.921572,0.243305,0.231939,0.558745,0.825243,0.89983,0.725806,1.0,0.973684
2,0.387342,0.92887,0.95393,0.377578,0.140203,0.396239,0.873786,0.921053,0.789474,1.0,0.973684
3,0.299467,0.937238,0.958678,0.468136,0.099632,0.31056,0.883495,0.929825,0.789474,1.0,1.0
4,0.244414,0.937238,0.958678,0.535922,0.077974,0.257003,0.893204,0.934524,0.803571,1.0,1.0
5,0.207374,0.941423,0.961111,0.589948,0.063644,0.220914,0.893204,0.934524,0.803571,1.0,1.0
6,0.181611,0.945607,0.963585,0.634434,0.052931,0.195669,0.893204,0.934524,0.803571,1.0,1.0
7,0.163297,0.949791,0.966102,0.671681,0.044527,0.177539,0.893204,0.934524,0.803571,1.0,1.0
8,0.150023,0.958159,0.971264,0.70316,0.037824,0.164206,0.902913,0.939394,0.818182,1.0,1.0
9,0.140215,0.966527,0.976608,0.729939,0.03244,0.154165,0.902913,0.939394,0.818182,1.0,1.0
10,0.132825,0.966527,0.976608,0.752848,0.028095,0.146427,0.912621,0.944444,0.833333,1.0,1.0
11,0.127149,0.966527,0.976608,0.772551,0.024569,0.140328,0.951456,0.966667,0.9,1.0,1.0
12,0.122707,0.970711,0.979351,0.789592,0.021688,0.135422,0.970874,0.979167,0.9375,1.0,1.0
13,0.119171,0.970711,0.979351,0.804414,0.019314,0.131404,0.980583,0.985816,0.957447,1.0,1.0
14,0.116311,0.970711,0.979351,0.817381,0.017337,0.128062,0.980583,0.985816,0.957447,1.0,1.0
15,0.113968,0.970711,0.979351,0.828791,0.015672,0.125244,0.980583,0.985816,0.957447,1.0,1.0
16,0.112025,0.974895,0.982143,0.838889,0.014253,0.122843,0.980583,0.985816,0.957447,1.0,1.0
17,0.110397,0.974895,0.982143,0.847873,0.013029,0.12078,0.980583,0.985816,0.957447,1.0,1.0
18,0.109023,0.974895,0.982143,0.855909,0.011961,0.118995,0.980583,0.985816,0.957447,1.0,1.0
19,0.107856,0.974895,0.982143,0.863133,0.011019,0.117443,0.990291,0.992754,0.978261,1.0,1.0
20,0.106858,0.974895,0.982143,0.869657,0.01018,0.116086,0.990291,0.992754,0.978261,1.0,1.0
21,0.106002,0.974895,0.982143,0.875572,0.009426,0.114897,0.990291,0.992754,0.978261,1.0,1.0
22,0.105265,0.974895,0.982143,0.880957,0.008744,0.113852,0.990291,0.992754,0.978261,1.0,1.0
23,0.104628,0.974895,0.982143,0.885876,0.008124,0.112932,0.990291,0.992754,0.978261,1.0,1.0
24,0.104076,0.974895,0.982143,0.890383,0.007557,0.11212,0.990291,0.992754,0.978261,1.0,1.0
25,0.103598,0.974895,0.982143,0.894525,0.007037,0.111403,0.990291,0.992754,0.978261,1.0,1.0
26,0.103182,0.974895,0.982143,0.898339,0.006558,0.110769,0.990291,0.992754,0.978261,1.0,1.0
27,0.102821,0.974895,0.982143,0.90186,0.006117,0.110207,0.990291,0.992754,0.978261,1.0,1.0
28,0.102506,0.974895,0.982143,0.905116,0.005708,0.10971,0.990291,0.992754,0.978261,1.0,1.0
29,0.102231,0.974895,0.982143,0.908132,0.00533,0.109268,0.990291,0.992754,0.978261,1.0,1.0
30,0.101991,0.974895,0.982143,0.910929,0.004979,0.108877,0.990291,0.992754,0.978261,1.0,1.0
31,0.101782,0.974895,0.982143,0.913528,0.004654,0.10853,0.990291,0.992754,0.978261,1.0,1.0
32,0.101599,0.974895,0.982143,0.915944,0.004351,0.108221,0.990291,0.992754,0.978261,1.0,1.0
33,0.101438,0.974895,0.982143,0.918192,0.004071,0.107947,0.990291,0.992754,0.978261,1.0,1.0
34,0.101298,0.974895,0.982143,0.920286,0.00381,0.107703,0.990291,0.992754,0.978261,1.0,1.0
35,0.101174,0.974895,0.982143,0.922238,0.003567,0.107487,0.990291,0.992754,0.978261,1.0,1.0
36,0.101066,0.974895,0.982143,0.924059,0.003341,0.107294,0.990291,0.992754,0.978261,1.0,1.0
37,0.100971,0.974895,0.982143,0.925758,0.003131,0.107123,0.990291,0.992754,0.978261,1.0,1.0
38,0.100888,0.974895,0.982143,0.927345,0.002936,0.106971,0.990291,0.992754,0.978261,1.0,1.0
39,0.100814,0.974895,0.982143,0.928827,0.002754,0.106836,0.990291,0.992754,0.978261,1.0,1.0
