feature,eta_squared,abs_corr_with_label,min,mean,max
flavanoids,0.7278,0.8475,0.34,2.029,5.08
proline,0.7038,0.6337,278.0,746.893,1680.0
od280/od315_of_diluted_wines,0.6847,0.7882,1.27,2.612,4.0
alcohol,0.6069,0.3282,11.03,13.001,14.83
color_intensity,0.5797,0.2657,1.28,5.058,13.0
hue,0.5366,0.6174,0.48,0.957,1.71
total_phenols,0.5172,0.7192,0.98,2.295,3.88
malic_acid,0.2969,0.4378,0.74,2.336,5.8
alcalinity_of_ash,0.2902,0.5179,10.6,19.495,30.0
proanthocyanins,0.257,0.4991,0.41,1.591,3.58
nonflavanoid_phenols,0.2396,0.4891,0.13,0.362,0.66
ash,0.1321,0.0496,1.36,2.367,3.23
magnesium,0.1244,0.2092,70.0,99.742,162.0
