iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_class_0,test_precision_class_1,test_precision_class_2
1,0.469061,0.951613,0.949495,0.680491,0.67098,0.472907,0.907407,0.911111,0.9,1.0,0.833333
2,0.329048,0.959677,0.956718,0.960286,0.29139,0.346419,0.962963,0.960784,1.0,1.0,0.882353
3,0.261998,0.967742,0.965449,1.147047,0.195557,0.286389,0.962963,0.960784,1.0,1.0,0.882353
4,0.221558,0.975806,0.973016,1.289728,0.149501,0.250094,0.962963,0.960784,1.0,1.0,0.882353
5,0.19409,0.975806,0.973016,1.406192,0.122024,0.22527,0.962963,0.960784,1.0,1.0,0.882353
6,0.174007,0.975806,0.973016,1.505136,0.103651,0.206954,0.962963,0.960784,1.0,1.0,0.882353
7,0.158569,0.975806,0.973016,1.591487,0.090447,0.192726,0.962963,0.960784,1.0,1.0,0.882353
8,0.146259,0.983871,0.980952,1.668321,0.080473,0.181257,0.962963,0.960784,1.0,1.0,0.882353
9,0.136167,0.983871,0.980952,1.737692,0.072657,0.171751,0.962963,0.960784,1.0,1.0,0.882353
10,0.12771,0.983871,0.980952,1.801043,0.066359,0.1637,0.962963,0.960784,1.0,1.0,0.882353
11,0.120497,0.983871,0.980952,1.85943,0.06117,0.156764,0.962963,0.960784,1.0,1.0,0.882353
12,0.114254,0.983871,0.980952,1.913649,0.056817,0.150703,0.962963,0.960784,1.0,1.0,0.882353
13,0.108785,0.983871,0.980952,1.964315,0.05311,0.145347,0.962963,0.960784,1.0,1.0,0.882353
14,0.103943,0.983871,0.980952,2.011913,0.049913,0.140568,0.962963,0.960784,1.0,1.0,0.882353
15,0.099619,0.983871,0.980952,2.056836,0.047125,0.136268,0.981481,0.979167,1.0,1.0,0.9375
16,0.095726,0.991935,0.990196,2.099402,0.044672,0.132373,0.981481,0.979167,1.0,1.0,0.9375
17,0.092198,0.991935,0.990196,2.139875,0.042495,0.128822,0.981481,0.979167,1.0,1.0,0.9375
18,0.088981,0.991935,0.990196,2.178478,0.040549,0.125568,0.981481,0.979167,1.0,1.0,0.9375
19,0.086032,0.991935,0.990196,2.215397,0.038798,0.122572,0.981481,0.979167,1.0,1.0,0.9375
20,0.083317,0.991935,0.990196,2.250791,0.037213,0.119803,0.981481,0.979167,1.0,1.0,0.9375
21,0.080805,0.991935,0.990196,2.284799,0.035771,0.117233,0.981481,0.979167,1.0,1.0,0.9375
22,0.078473,0.991935,0.990196,2.31754,0.034453,0.11484,0.981481,0.979167,1.0,1.0,0.9375
23,0.0763,0.991935,0.990196,2.349117,0.033243,0.112606,0.981481,0.979167,1.0,1.0,0.9375
24,0.074269,0.991935,0.990196,2.379622,0.032127,0.110514,0.981481,0.979167,1.0,1.0,0.9375
25,0.072366,0.991935,0.990196,2.409136,0.031095,0.10855,0.981481,0.979167,1.0,1.0,0.9375
26,0.070576,0.991935,0.990196,2.437729,0.030137,0.106702,0.981481,0.979167,1.0,1.0,0.9375
27,0.06889,0.991935,0.990196,2.465467,0.029245,0.10496,0.981481,0.979167,1.0,1.0,0.9375
28,0.067298,0.991935,0.990196,2.492406,0.028412,0.103314,0.981481,0.979167,1.0,1.0,0.9375
29,0.065791,0.991935,0.990196,2.518597,0.027632,0.101757,0.981481,0.979167,1.0,1.0,0.9375
30,0.064363,0.991935,0.990196,2.544088,0.0269,0.10028,0.981481,0.979167,1.0,1.0,0.9375
31,0.063006,0.991935,0.990196,2.568919,0.026212,0.098878,0.981481,0.979167,1.0,1.0,0.9375
32,0.061714,0.991935,0.990196,2.593129,0.025563,0.097545,0.981481,0.979167,1.0,1.0,0.9375
33,0.060484,0.991935,0.990196,2.616754,0.024949,0.096276,0.981481,0.979167,1.0,1.0,0.9375
34,0.05931,0.991935,0.990196,2.639824,0.024369,0.095066,0.981481,0.979167,1.0,1.0,0.9375
35,0.058188,0.991935,0.990196,2.662369,0.023819,0.093911,0.981481,0.979167,1.0,1.0,0.9375
36,0.057114,0.991935,0.990196,2.684416,0.023296,0.092808,0.981481,0.979167,1.0,1.0,0.9375
37,0.056085,0.991935,0.990196,2.70599,0.022799,0.091752,0.981481,0.979167,1.0,1.0,0.9375
38,0.055098,0.991935,0.990196,2.727112,0.022326,0.090741,0.981481,0.979167,1.0,1.0,0.9375
39,0.054151,0.991935,0.990196,2.747805,0.021874,0.089772,0.981481,0.979167,1.0,1.0,0.9375
40,0.05324,0.991935,0.990196,2.768089,0.021443,0.088842,0.981481,0.979167,1.0,1.0,0.9375
41,0.052364,0.991935,0.990196,2.78798,0.02103,0.08795,0.981481,0.979167,1.0,1.0,0.9375
42,0.05152,0.991935,0.990196,2.807497,0.020635,0.087092,0.981481,0.979167,1.0,1.0,0.9375
43,0.050707,0.991935,0.990196,2.826655,0.020257,0.086266,0.981481,0.979167,1.0,1.0,0.9375
44,0.049922,0.991935,0.990196,2.845468,0.019894,0.085472,0.981481,0.979167,1.0,1.0,0.9375
45,0.049165,0.991935,0.990196,2.863952,0.019545,0.084707,0.981481,0.979167,1.0,1.0,0.9375
46,0.048433,0.991935,0.990196,2.882118,0.019209,0.08397,0.981481,0.979167,1.0,1.0,0.9375
47,0.047726,0.991935,0.990196,2.899978,0.018887,0.083258,0.981481,0.979167,1.0,1.0,0.9375
48,0.047041,0.991935,0.990196,2.917545,0.018576,0.082572,0.981481,0.979167,1.0,1.0,0.9375
49,0.046378,0.991935,0.990196,2.934829,0.018276,0.081909,0.981481,0.979167,1.0,1.0,0.9375
50,0.045736,0.991935,0.990196,2.95184,0.017987,0.081268,0.981481,0.979167,1.0,1.0,0.9375
51,0.045114,0.991935,0.990196,2.968588,0.017708,0.080648,0.981481,0.979167,1.0,1.0,0.9375
52,0.04451,0.991935,0.990196,2.985081,0.017438,0.080049,0.981481,0.979167,1.0,1.0,0.9375
53,0.043925,0.991935,0.990196,3.001329,0.017177,0.079469,0.981481,0.979167,1.0,1.0,0.9375
54,0.043356,0.991935,0.990196,3.017339,0.016925,0.078907,0.981481,0.979167,1.0,1.0,0.9375
55,0.042803,0.991935,0.990196,3.03312,0.016681,0.078363,0.981481,0.979167,1.0,1.0,0.9375
56,0.042266,0.991935,0.990196,3.048678,0.016444,0.077835,0.981481,0.979167,1.0,1.0,0.9375
57,0.041744,0.991935,0.990196,3.06402,0.016215,0.077324,0.981481,0.979167,1.0,1.0,0.9375
58,0.041236,0.991935,0.990196,3.079154,0.015993,0.076827,0.981481,0.979167,1.0,1.0,0.9375
59,0.040741,0.991935,0.990196,3.094084,0.015777,0.076345,0.981481,0.979167,1.0,1.0,0.9375
60,0.04026,0.991935,0.990196,3.108818,0.015568,0.075877,0.981481,0.979167,1.0,1.0,0.9375
61,0.039791,0.991935,0.990196,3.123361,0.015364,0.075423,0.981481,0.979167,1.0,1.0,0.9375
62,0.039334,0.991935,0.990196,3.137718,0.015166,0.074981,0.981481,0.979167,1.0,1.0,0.9375
63,0.038888,0.991935,0.990196,3.151895,0.014974,0.074551,0.981481,0.979167,1.0,1.0,0.9375
64,0.038453,0.991935,0.990196,3.165897,0.014787,0.074133,0.981481,0.979167,1.0,1.0,0.9375
65,0.038029,1.0,1.0,3.179728,0.014605,0.073727,0.981481,0.979167,1.0,1.0,0.9375
66,0.037616,1.0,1.0,3.193393,0.014428,0.073331,0.981481,0.979167,1.0,1.0,0.9375
67,0.037212,1.0,1.0,3.206896,0.014255,0.072946,0.981481,0.979167,1.0,1.0,0.9375
68,0.036817,1.0,1.0,3.220241,0.014087,0.072571,0.981481,0.979167,1.0,1.0,0.9375
69,0.036432,1.0,1.0,3.233433,0.013923,0.072206,0.981481,0.979167,1.0,1.0,0.9375
70,0.036055,1.0,1.0,3.246476,0.013763,0.07185,0.981481,0.979167,1.0,1.0,0.9375
71,0.035687,1.0,1.0,3.259372,0.013607,0.071502,0.981481,0.979167,1.0,1.0,0.9375
72,0.035327,1.0,1.0,3.272126,0.013455,0.071164,0.981481,0.979167,1.0,1.0,0.9375
73,0.034974,1.0,1.0,3.284741,0.013307,0.070834,0.981481,0.979167,1.0,1.0,0.9375
74,0.03463,1.0,1.0,3.29722,0.013161,0.070512,0.981481,0.979167,1.0,1.0,0.9375
75,0.034293,1.0,1.0,3.309567,0.01302,0.070197,0.981481,0.979167,1.0,1.0,0.9375
76,0.033962,1.0,1.0,3.321784,0.012881,0.06989,0.981481,0.979167,1.0,1.0,0.9375
77,0.033639,1.0,1.0,3.333875,0.012746,0.06959,0.981481,0.979167,1.0,1.0,0.9375
78,0.033323,1.0,1.0,3.345842,0.012614,0.069298,0.981481,0.979167,1.0,1.0,0.9375
79,0.033013,1.0,1.0,3.357688,0.012484,0.069012,0.981481,0.979167,1.0,1.0,0.9375
80,0.032709,1.0,1.0,3.369416,0.012358,0.068732,0.981481,0.979167,1.0,1.0,0.9375
81,0.032411,1.0,1.0,3.381028,0.012234,0.068459,0.981481,0.979167,1.0,1.0,0.9375
82,0.032119,1.0,1.0,3.392527,0.012113,0.068192,0.981481,0.979167,1.0,1.0,0.9375
83,0.031832,1.0,1.0,3.403914,0.011994,0.06793,0.981481,0.979167,1.0,1.0,0.9375
84,0.031552,1.0,1.0,3.415194,0.011878,0.067675,0.981481,0.979167,1.0,1.0,0.9375
85,0.031276,1.0,1.0,3.426366,0.011764,0.067425,0.981481,0.979167,1.0,1.0,0.9375
86,0.031006,1.0,1.0,3.437435,0.011653,0.06718,0.981481,0.979167,1.0,1.0,0.9375
87,0.030741,1.0,1.0,3.448401,0.011543,0.066941,0.981481,0.979167,1.0,1.0,0.9375
88,0.03048,1.0,1.0,3.459268,0.011436,0.066706,0.981481,0.979167,1.0,1.0,0.9375
89,0.030225,1.0,1.0,3.470036,0.011331,0.066477,0.981481,0.979167,1.0,1.0,0.9375
90,0.029974,1.0,1.0,3.480708,0.011228,0.066252,0.981481,0.979167,1.0,1.0,0.9375
