iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_setosa,test_precision_versicolor,test_precision_virginica
1,0.717084,0.847619,0.882086,0.502546,0.487043,0.753088,0.755556,0.805556,1.0,0.833333,0.583333
2,0.589272,0.857143,0.887626,0.777396,0.276313,0.639189,0.755556,0.805556,1.0,0.833333,0.583333
3,0.523683,0.866667,0.893309,0.966356,0.192178,0.582273,0.777778,0.821946,1.0,0.857143,0.608696
4,0.481585,0.87619,0.899155,1.113529,0.151514,0.546626,0.777778,0.821946,1.0,0.857143,0.608696
5,0.451252,0.866667,0.884444,1.236145,0.127429,0.521446,0.755556,0.780303,1.0,0.75,0.590909
6,0.427885,0.866667,0.884444,1.342449,0.11119,0.502333,0.8,0.816667,1.0,0.8,0.65
7,0.409087,0.866667,0.884444,1.437002,0.099318,0.487114,0.8,0.816667,1.0,0.8,0.65
8,0.393494,0.885714,0.897789,1.522606,0.090179,0.474565,0.8,0.816667,1.0,0.8,0.65
9,0.380253,0.904762,0.911971,1.601121,0.0829,0.463933,0.822222,0.834131,1.0,0.818182,0.684211
10,0.368795,0.904762,0.911971,1.67386,0.07696,0.454727,0.822222,0.834131,1.0,0.818182,0.684211
11,0.358725,0.904762,0.911971,1.74179,0.072024,0.44661,0.822222,0.834131,1.0,0.818182,0.684211
12,0.349759,0.904762,0.911971,1.805648,0.067865,0.439342,0.822222,0.834131,1.0,0.818182,0.684211
13,0.341686,0.904762,0.911971,1.866015,0.064318,0.432752,0.822222,0.834131,1.0,0.818182,0.684211
14,0.334346,0.904762,0.911971,1.923353,0.061261,0.426708,0.844444,0.851852,1.0,0.833333,0.722222
15,0.327616,0.914286,0.916118,1.978041,0.058602,0.421113,0.844444,0.851852,1.0,0.833333,0.722222
16,0.321401,0.914286,0.916118,2.030391,0.056271,0.415893,0.844444,0.851852,1.0,0.833333,0.722222
17,0.315625,0.914286,0.916118,2.080665,0.05421,0.410988,0.844444,0.851852,1.0,0.833333,0.722222
18,0.310226,0.914286,0.916118,2.129082,0.052376,0.406352,0.822222,0.825038,1.0,0.769231,0.705882
19,0.305154,0.92381,0.924652,2.175831,0.050732,0.401948,0.822222,0.825038,1.0,0.769231,0.705882
20,0.300371,0.92381,0.924652,2.221073,0.049249,0.397746,0.822222,0.825038,1.0,0.769231,0.705882
21,0.295841,0.92381,0.924652,2.264947,0.047903,0.393721,0.822222,0.825038,1.0,0.769231,0.705882
22,0.291537,0.933333,0.935307,2.307573,0.046676,0.389853,0.822222,0.825038,1.0,0.769231,0.705882
23,0.287435,0.933333,0.935307,2.349058,0.04555,0.386127,0.822222,0.825038,1.0,0.769231,0.705882
24,0.283516,0.933333,0.935307,2.389494,0.044512,0.382527,0.822222,0.825038,1.0,0.769231,0.705882
25,0.279762,0.933333,0.935307,2.428962,0.043551,0.379043,0.844444,0.845238,1.0,0.785714,0.75
26,0.276158,0.933333,0.935307,2.467535,0.042656,0.375664,0.844444,0.845238,1.0,0.785714,0.75
27,0.272693,0.933333,0.935307,2.505277,0.041821,0.372381,0.844444,0.845238,1.0,0.785714,0.75
28,0.269356,0.933333,0.935307,2.542244,0.041038,0.369189,0.844444,0.845238,1.0,0.785714,0.75
29,0.266135,0.933333,0.935307,2.578488,0.040302,0.36608,0.844444,0.845238,1.0,0.785714,0.75
30,0.263024,0.933333,0.935307,2.614055,0.039606,0.363049,0.844444,0.845238,1.0,0.785714,0.75
31,0.260015,0.942857,0.946512,2.648985,0.038948,0.360092,0.844444,0.845238,1.0,0.785714,0.75
32,0.257101,0.942857,0.946512,2.683316,0.038322,0.357203,0.844444,0.845238,1.0,0.785714,0.75
33,0.254276,0.942857,0.946512,2.717081,0.037727,0.35438,0.844444,0.845238,1.0,0.785714,0.75
34,0.251534,0.942857,0.946512,2.750311,0.037159,0.351619,0.844444,0.845238,1.0,0.785714,0.75
35,0.248872,0.942857,0.946512,2.783033,0.036615,0.348917,0.844444,0.845238,1.0,0.785714,0.75
36,0.246285,0.952381,0.954496,2.815273,0.036094,0.346271,0.844444,0.845238,1.0,0.785714,0.75
37,0.243768,0.952381,0.954496,2.847053,0.035594,0.343679,0.844444,0.845238,1.0,0.785714,0.75
38,0.241319,0.952381,0.954496,2.878394,0.035112,0.34114,0.844444,0.845238,1.0,0.785714,0.75
39,0.238933,0.952381,0.954496,2.909316,0.034648,0.33865,0.844444,0.845238,1.0,0.785714,0.75
40,0.236609,0.952381,0.954496,2.939837,0.0342,0.336208,0.844444,0.845238,1.0,0.785714,0.75
41,0.234343,0.952381,0.954496,2.969973,0.033768,0.333812,0.844444,0.845238,1.0,0.785714,0.75
42,0.232132,0.952381,0.954496,2.999738,0.033349,0.331461,0.844444,0.845238,1.0,0.785714,0.75
43,0.229974,0.952381,0.954496,3.029147,0.032943,0.329154,0.844444,0.845238,1.0,0.785714,0.75
44,0.227868,0.952381,0.954496,3.058213,0.032549,0.326888,0.844444,0.845238,1.0,0.785714,0.75
45,0.225811,0.952381,0.954496,3.086948,0.032167,0.324663,0.844444,0.845238,1.0,0.785714,0.75
46,0.2238,0.952381,0.954496,3.115362,0.031795,0.322477,0.844444,0.845238,1.0,0.785714,0.75
47,0.221835,0.952381,0.954496,3.143467,0.031434,0.32033,0.844444,0.845238,1.0,0.785714,0.75
48,0.219914,0.952381,0.954496,3.171272,0.031082,0.31822,0.844444,0.845238,1.0,0.785714,0.75
49,0.218034,0.952381,0.954496,3.198785,0.030739,0.316147,0.844444,0.845238,1.0,0.785714,0.75
50,0.216195,0.952381,0.954496,3.226017,0.030405,0.314108,0.844444,0.845238,1.0,0.785714,0.75
51,0.214395,0.952381,0.954496,3.252974,0.030079,0.312104,0.844444,0.845238,1.0,0.785714,0.75
52,0.212633,0.952381,0.954496,3.279664,0.029761,0.310134,0.844444,0.845238,1.0,0.785714,0.75
53,0.210908,0.952381,0.954496,3.306095,0.02945,0.308196,0.844444,0.845238,1.0,0.785714,0.75
54,0.209217,0.952381,0.954496,3.332272,0.029146,0.30629,0.844444,0.845238,1.0,0.785714,0.75
55,0.207561,0.952381,0.954496,3.358203,0.028849,0.304415,0.844444,0.845238,1.0,0.785714,0.75
56,0.205938,0.952381,0.954496,3.383893,0.028559,0.302571,0.844444,0.845238,1.0,0.785714,0.75
57,0.204347,0.952381,0.954496,3.409348,0.028275,0.300756,0.844444,0.845238,1.0,0.785714,0.75
58,0.202787,0.961905,0.962872,3.434573,0.027997,0.29897,0.844444,0.845238,1.0,0.785714,0.75
59,0.201257,0.961905,0.962872,3.459573,0.027724,0.297212,0.866667,0.866667,1.0,0.8,0.8
60,0.199757,0.961905,0.962872,3.484354,0.027458,0.295482,0.866667,0.866667,1.0,0.8,0.8
61,0.198284,0.961905,0.962872,3.50892,0.027196,0.293779,0.866667,0.866667,1.0,0.8,0.8
62,0.196839,0.961905,0.962872,3.533276,0.02694,0.292102,0.866667,0.866667,1.0,0.8,0.8
63,0.195421,0.971429,0.971678,3.557425,0.026689,0.290451,0.866667,0.866667,1.0,0.8,0.8
64,0.194029,0.971429,0.971678,3.581372,0.026442,0.288826,0.866667,0.866667,1.0,0.8,0.8
65,0.192663,0.971429,0.971678,3.605121,0.026201,0.287225,0.866667,0.866667,1.0,0.8,0.8
66,0.191321,0.971429,0.971678,3.628675,0.025963,0.285648,0.866667,0.866667,1.0,0.8,0.8
