iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_setosa,test_precision_versicolor,test_precision_virginica
1,0.583183,0.847619,0.882086,0.24039,0.221566,0.609188,0.777778,0.821946,1.0,0.857143,0.608696
2,0.451485,0.857143,0.887626,0.362189,0.125977,0.482933,0.777778,0.821946,1.0,0.857143,0.608696
3,0.386195,0.87619,0.899155,0.44075,0.086364,0.421061,0.755556,0.805556,1.0,0.833333,0.583333
4,0.34733,0.866667,0.884444,0.497722,0.065892,0.385199,0.733333,0.759834,1.0,0.714286,0.565217
5,0.32259,0.866667,0.884444,0.541899,0.052363,0.363019,0.733333,0.759834,1.0,0.714286,0.565217
6,0.306439,0.866667,0.884444,0.57726,0.04223,0.348954,0.733333,0.759834,1.0,0.714286,0.565217
7,0.295736,0.866667,0.877692,0.605962,0.034322,0.339913,0.733333,0.759834,1.0,0.714286,0.565217
8,0.288539,0.857143,0.86711,0.629407,0.028094,0.334031,0.733333,0.759834,1.0,0.714286,0.565217
9,0.28361,0.857143,0.86711,0.64863,0.023196,0.330148,0.733333,0.759834,1.0,0.714286,0.565217
10,0.280154,0.857143,0.86711,0.664446,0.019365,0.327532,0.755556,0.780303,1.0,0.75,0.590909
11,0.277661,0.857143,0.86711,0.677509,0.01639,0.325721,0.755556,0.780303,1.0,0.75,0.590909
12,0.2758,0.857143,0.86711,0.688353,0.014099,0.324424,0.755556,0.780303,1.0,0.75,0.590909
13,0.27436,0.857143,0.86711,0.697411,0.01235,0.323454,0.733333,0.746032,1.0,0.666667,0.571429
14,0.273203,0.866667,0.874658,0.705033,0.011022,0.322695,0.733333,0.746032,1.0,0.666667,0.571429
15,0.27224,0.866667,0.874658,0.711505,0.010016,0.322075,0.733333,0.746032,1.0,0.666667,0.571429
16,0.271413,0.866667,0.874658,0.717054,0.00925,0.321546,0.733333,0.746032,1.0,0.666667,0.571429
17,0.270684,0.87619,0.882385,0.721865,0.008661,0.321079,0.733333,0.746032,1.0,0.666667,0.571429
18,0.270028,0.87619,0.882385,0.726085,0.008197,0.320658,0.733333,0.746032,1.0,0.666667,0.571429
19,0.269428,0.87619,0.882385,0.729832,0.007824,0.320269,0.755556,0.766667,1.0,0.7,0.6
20,0.268874,0.87619,0.882385,0.733201,0.007514,0.319907,0.755556,0.766667,1.0,0.7,0.6
21,0.268357,0.87619,0.882385,0.736267,0.007249,0.319566,0.755556,0.766667,1.0,0.7,0.6
22,0.267872,0.87619,0.882385,0.739089,0.007017,0.319245,0.755556,0.766667,1.0,0.7,0.6
23,0.267415,0.87619,0.882385,0.741716,0.006807,0.31894,0.755556,0.766667,1.0,0.7,0.6
24,0.266984,0.87619,0.882385,0.744186,0.006614,0.318651,0.755556,0.766667,1.0,0.7,0.6
25,0.266575,0.87619,0.882385,0.746527,0.006434,0.318377,0.733333,0.738437,1.0,0.636364,0.578947
26,0.266188,0.87619,0.882385,0.748763,0.006265,0.318117,0.733333,0.738437,1.0,0.636364,0.578947
27,0.26582,0.87619,0.882385,0.750914,0.006104,0.31787,0.733333,0.738437,1.0,0.636364,0.578947
28,0.26547,0.87619,0.882385,0.752993,0.00595,0.317636,0.733333,0.738437,1.0,0.636364,0.578947
29,0.265138,0.885714,0.894089,0.755013,0.005802,0.317414,0.733333,0.738437,1.0,0.636364,0.578947
30,0.264822,0.885714,0.894089,0.756981,0.005659,0.317204,0.733333,0.738437,1.0,0.636364,0.578947
31,0.26452,0.885714,0.894089,0.758905,0.005522,0.317004,0.733333,0.738437,1.0,0.636364,0.578947
32,0.264233,0.885714,0.894089,0.760791,0.005389,0.316816,0.733333,0.738437,1.0,0.636364,0.578947
33,0.26396,0.885714,0.894089,0.762643,0.005261,0.316637,0.733333,0.738437,1.0,0.636364,0.578947
34,0.263699,0.885714,0.894089,0.764463,0.005137,0.316468,0.733333,0.738437,1.0,0.636364,0.578947
35,0.26345,0.885714,0.894089,0.766255,0.005017,0.316308,0.733333,0.738437,1.0,0.636364,0.578947
36,0.263213,0.885714,0.894089,0.768019,0.004901,0.316156,0.733333,0.738437,1.0,0.636364,0.578947
37,0.262986,0.885714,0.894089,0.769759,0.004788,0.316013,0.733333,0.738437,1.0,0.636364,0.578947
38,0.26277,0.885714,0.894089,0.771474,0.004679,0.315877,0.733333,0.738437,1.0,0.636364,0.578947
39,0.262563,0.885714,0.894089,0.773165,0.004574,0.315748,0.733333,0.738437,1.0,0.636364,0.578947
40,0.262365,0.885714,0.894089,0.774834,0.004472,0.315627,0.733333,0.738437,1.0,0.636364,0.578947
41,0.262176,0.885714,0.894089,0.77648,0.004374,0.315512,0.755556,0.759259,1.0,0.666667,0.611111
42,0.261995,0.885714,0.894089,0.778104,0.004279,0.315403,0.755556,0.759259,1.0,0.666667,0.611111
43,0.261821,0.885714,0.894089,0.779706,0.004186,0.3153,0.755556,0.759259,1.0,0.666667,0.611111
44,0.261655,0.885714,0.894089,0.781287,0.004097,0.315202,0.755556,0.759259,1.0,0.666667,0.611111
45,0.261496,0.885714,0.894089,0.782846,0.004011,0.315109,0.755556,0.759259,1.0,0.666667,0.611111
46,0.261343,0.885714,0.894089,0.784384,0.003928,0.315021,0.755556,0.759259,1.0,0.666667,0.611111
47,0.261197,0.885714,0.894089,0.785901,0.003847,0.314938,0.755556,0.759259,1.0,0.666667,0.611111
48,0.261056,0.885714,0.894089,0.787397,0.003769,0.314859,0.755556,0.759259,1.0,0.666667,0.611111
49,0.260921,0.885714,0.894089,0.788872,0.003694,0.314784,0.755556,0.759259,1.0,0.666667,0.611111
50,0.260791,0.885714,0.894089,0.790327,0.003621,0.314713,0.755556,0.759259,1.0,0.666667,0.611111
51,0.260666,0.885714,0.894089,0.791762,0.003551,0.314646,0.755556,0.759259,1.0,0.666667,0.611111
52,0.260546,0.885714,0.894089,0.793176,0.003483,0.314581,0.755556,0.759259,1.0,0.666667,0.611111
53,0.26043,0.885714,0.894089,0.79457,0.003418,0.31452,0.755556,0.759259,1.0,0.666667,0.611111
54,0.260319,0.885714,0.894089,0.795945,0.003354,0.314462,0.755556,0.759259,1.0,0.666667,0.611111
55,0.260212,0.885714,0.894089,0.797299,0.003293,0.314407,0.755556,0.759259,1.0,0.666667,0.611111
56,0.260108,0.885714,0.894089,0.798635,0.003234,0.314355,0.755556,0.759259,1.0,0.666667,0.611111
57,0.260008,0.885714,0.894089,0.799951,0.003177,0.314305,0.755556,0.759259,1.0,0.666667,0.611111
58,0.259911,0.885714,0.894089,0.801249,0.003122,0.314257,0.755556,0.759259,1.0,0.666667,0.611111
59,0.259818,0.885714,0.894089,0.802528,0.003069,0.314211,0.755556,0.759259,1.0,0.666667,0.611111
60,0.259728,0.885714,0.894089,0.803788,0.003017,0.314168,0.755556,0.759259,1.0,0.666667,0.611111
61,0.25964,0.885714,0.894089,0.805031,0.002968,0.314126,0.755556,0.759259,1.0,0.666667,0.611111
62,0.259556,0.885714,0.894089,0.806256,0.00292,0.314086,0.755556,0.759259,1.0,0.666667,0.611111
