model,loss,learning_rate,n_iterations,train_loss,train_accuracy,test_accuracy,test_precision_macro,weight_norm_l2,weight_update_norm_l2,fit_time_ms,peak_memory_kb
Линейная регрессия (MSE),mse,0.1,10,0.132825,0.9665,0.9126,0.9444,0.7528,0.02809538,7.29,43.99
Линейная регрессия (MSE),mse,0.1,20,0.106858,0.9749,0.9903,0.9928,0.8697,0.01017955,13.444,46.32
Линейная регрессия (MSE),mse,0.1,30,0.101991,0.9749,0.9903,0.9928,0.9109,0.00497911,19.553,49.33
Линейная регрессия (MSE),mse,0.1,40,0.10075,0.9749,0.9903,0.9928,0.9302,0.00258489,26.378,52.52
Линейная регрессия (MSE),mse,0.1,50,0.100397,0.9791,0.9903,0.9928,0.94,0.00142282,32.704,55.82
Линейная регрессия (MSE),mse,0.1,60,0.100282,0.9791,0.9903,0.9928,0.9451,0.00085608,39.295,59.12
Линейная регрессия (MSE),mse,0.1,70,0.100235,0.9791,0.9903,0.9928,0.9478,0.00057022,45.629,62.42
Линейная регрессия (MSE),mse,0.1,80,0.100213,0.9791,0.9903,0.9928,0.9493,0.00041159,51.581,66.37
Линейная регрессия (MSE),mse,0.1,90,0.1002,0.9791,0.9903,0.9928,0.9502,0.00031129,61.865,69.63
Линейная регрессия (MSE),mse,0.1,100,0.100193,0.9791,0.9903,0.9928,0.9507,0.00024072,64.514,73.59
Softmax-регрессия (log-loss),logloss,0.5,10,0.227517,0.9623,0.9029,0.9394,1.8287,0.08357594,7.9,64.35
Softmax-регрессия (log-loss),logloss,0.5,20,0.155605,0.9749,0.9709,0.9688,2.3883,0.04748274,13.436,66.54
Softmax-регрессия (log-loss),logloss,0.5,30,0.124884,0.9791,0.9806,0.9767,2.7524,0.03416482,20.719,69.69
Softmax-регрессия (log-loss),logloss,0.5,40,0.107031,0.9791,0.9806,0.9767,3.0285,0.02711807,28.649,72.88
Softmax-регрессия (log-loss),logloss,0.5,50,0.095063,0.9791,0.9903,0.9848,3.2541,0.02269434,41.29,76.18
Softmax-регрессия (log-loss),logloss,0.5,60,0.086354,0.9791,0.9903,0.9848,3.4466,0.0196282,42.536,79.48
Softmax-регрессия (log-loss),logloss,0.5,70,0.079666,0.9833,0.9903,0.9848,3.6154,0.01736228,50.247,82.77
Softmax-регрессия (log-loss),logloss,0.5,80,0.074333,0.9833,0.9903,0.9848,3.7665,0.01561125,57.141,86.73
Softmax-регрессия (log-loss),logloss,0.5,90,0.069959,0.9833,0.9903,0.9848,3.9037,0.01421298,69.504,90.12
Softmax-регрессия (log-loss),logloss,0.5,100,0.066292,0.9833,0.9903,0.9848,4.0297,0.01306801,73.624,94.07
