feature,count,mean,std,min,25%,50%,75%,max
alcohol,178.0,13.001,0.812,11.03,12.362,13.05,13.678,14.83
malic_acid,178.0,2.336,1.117,0.74,1.602,1.865,3.082,5.8
ash,178.0,2.367,0.274,1.36,2.21,2.36,2.558,3.23
alcalinity_of_ash,178.0,19.495,3.34,10.6,17.2,19.5,21.5,30.0
magnesium,178.0,99.742,14.282,70.0,88.0,98.0,107.0,162.0
total_phenols,178.0,2.295,0.626,0.98,1.742,2.355,2.8,3.88
flavanoids,178.0,2.029,0.999,0.34,1.205,2.135,2.875,5.08
nonflavanoid_phenols,178.0,0.362,0.124,0.13,0.27,0.34,0.438,0.66
proanthocyanins,178.0,1.591,0.572,0.41,1.25,1.555,1.95,3.58
color_intensity,178.0,5.058,2.318,1.28,3.22,4.69,6.2,13.0
hue,178.0,0.957,0.229,0.48,0.782,0.965,1.12,1.71
od280/od315_of_diluted_wines,178.0,2.612,0.71,1.27,1.938,2.78,3.17,4.0
proline,178.0,746.893,314.907,278.0,500.5,673.5,985.0,1680.0
