,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
alcohol,1.0,0.094,0.212,-0.31,0.271,0.289,0.237,-0.156,0.137,0.546,-0.072,0.072,0.644
malic_acid,0.094,1.0,0.164,0.289,-0.055,-0.335,-0.411,0.293,-0.221,0.249,-0.561,-0.369,-0.192
ash,0.212,0.164,1.0,0.443,0.287,0.129,0.115,0.186,0.01,0.259,-0.075,0.004,0.224
alcalinity_of_ash,-0.31,0.289,0.443,1.0,-0.083,-0.321,-0.351,0.362,-0.197,0.019,-0.274,-0.277,-0.441
magnesium,0.271,-0.055,0.287,-0.083,1.0,0.214,0.196,-0.256,0.236,0.2,0.055,0.066,0.393
total_phenols,0.289,-0.335,0.129,-0.321,0.214,1.0,0.865,-0.45,0.612,-0.055,0.434,0.7,0.498
flavanoids,0.237,-0.411,0.115,-0.351,0.196,0.865,1.0,-0.538,0.653,-0.172,0.543,0.787,0.494
nonflavanoid_phenols,-0.156,0.293,0.186,0.362,-0.256,-0.45,-0.538,1.0,-0.366,0.139,-0.263,-0.503,-0.311
proanthocyanins,0.137,-0.221,0.01,-0.197,0.236,0.612,0.653,-0.366,1.0,-0.025,0.296,0.519,0.33
color_intensity,0.546,0.249,0.259,0.019,0.2,-0.055,-0.172,0.139,-0.025,1.0,-0.522,-0.429,0.316
hue,-0.072,-0.561,-0.075,-0.274,0.055,0.434,0.543,-0.263,0.296,-0.522,1.0,0.565,0.236
od280/od315_of_diluted_wines,0.072,-0.369,0.004,-0.277,0.066,0.7,0.787,-0.503,0.519,-0.429,0.565,1.0,0.313
proline,0.644,-0.192,0.224,-0.441,0.393,0.498,0.494,-0.311,0.33,0.316,0.236,0.313,1.0
