iteration,train_loss,train_accuracy,train_precision_macro,weight_norm_l2,weight_update_norm_l2,test_loss,test_accuracy,test_precision_macro,test_precision_class_0,test_precision_class_1,test_precision_class_2
1,0.41027,0.951613,0.949495,0.304136,0.289099,0.420065,0.944444,0.944444,1.0,1.0,0.833333
2,0.274265,0.967742,0.965449,0.410305,0.127518,0.297841,0.962963,0.960784,1.0,1.0,0.882353
3,0.206396,0.983871,0.980952,0.482971,0.088301,0.23663,0.962963,0.960784,1.0,1.0,0.882353
4,0.16726,0.983871,0.980952,0.537327,0.066355,0.201523,0.962963,0.960784,1.0,1.0,0.882353
5,0.142995,0.983871,0.980952,0.57946,0.051972,0.179985,0.962963,0.960784,1.0,1.0,0.882353
6,0.127402,0.983871,0.980952,0.612875,0.041549,0.166369,0.962963,0.960784,1.0,1.0,0.882353
7,0.117178,0.983871,0.980952,0.639749,0.033583,0.157652,0.962963,0.961623,0.947368,1.0,0.9375
8,0.110372,0.983871,0.980952,0.661546,0.027356,0.152037,0.962963,0.961623,0.947368,1.0,0.9375
9,0.105772,0.983871,0.980952,0.679322,0.022448,0.148405,0.962963,0.961623,0.947368,1.0,0.9375
10,0.102609,0.983871,0.980952,0.693878,0.018575,0.146047,0.962963,0.961623,0.947368,1.0,0.9375
11,0.100388,0.983871,0.980952,0.705842,0.015525,0.144508,0.962963,0.961623,0.947368,1.0,0.9375
12,0.098789,0.983871,0.980952,0.715714,0.013132,0.143498,0.962963,0.961623,0.947368,1.0,0.9375
13,0.097605,0.983871,0.980952,0.723896,0.011262,0.142828,0.962963,0.961623,0.947368,1.0,0.9375
14,0.0967,0.983871,0.980952,0.730712,0.009807,0.142379,0.962963,0.961623,0.947368,1.0,0.9375
15,0.095986,0.983871,0.980952,0.736425,0.008678,0.142074,0.962963,0.961623,0.947368,1.0,0.9375
16,0.095405,0.983871,0.980952,0.741245,0.007801,0.141865,0.962963,0.961623,0.947368,1.0,0.9375
17,0.094918,0.983871,0.980952,0.745344,0.007118,0.141718,0.962963,0.961623,0.947368,1.0,0.9375
18,0.0945,0.983871,0.980952,0.748859,0.006582,0.141614,0.962963,0.961623,0.947368,1.0,0.9375
19,0.094132,0.991935,0.990196,0.751901,0.006155,0.14154,0.962963,0.961623,0.947368,1.0,0.9375
20,0.093803,0.991935,0.990196,0.75456,0.005809,0.141487,0.962963,0.961623,0.947368,1.0,0.9375
21,0.093505,0.991935,0.990196,0.756908,0.005523,0.141451,0.962963,0.961623,0.947368,1.0,0.9375
22,0.093232,0.991935,0.990196,0.759003,0.005282,0.141427,0.962963,0.961623,0.947368,1.0,0.9375
23,0.092979,0.991935,0.990196,0.760891,0.005074,0.141413,0.962963,0.961623,0.947368,1.0,0.9375
24,0.092744,0.991935,0.990196,0.762611,0.004891,0.141407,0.962963,0.961623,0.947368,1.0,0.9375
25,0.092524,0.991935,0.990196,0.764193,0.004728,0.141409,0.962963,0.961623,0.947368,1.0,0.9375
26,0.092317,0.991935,0.990196,0.76566,0.004579,0.141418,0.962963,0.961623,0.947368,1.0,0.9375
27,0.092123,0.991935,0.990196,0.767034,0.004442,0.141433,0.981481,0.982456,0.947368,1.0,1.0
28,0.091939,0.991935,0.990196,0.768329,0.004316,0.141454,0.981481,0.982456,0.947368,1.0,1.0
29,0.091765,0.991935,0.990196,0.769559,0.004197,0.141479,0.981481,0.982456,0.947368,1.0,1.0
30,0.091601,0.991935,0.990196,0.770734,0.004085,0.14151,0.981481,0.982456,0.947368,1.0,1.0
31,0.091444,0.991935,0.990196,0.771862,0.003978,0.141546,0.981481,0.982456,0.947368,1.0,1.0
32,0.091296,0.991935,0.990196,0.77295,0.003877,0.141585,0.981481,0.982456,0.947368,1.0,1.0
33,0.091155,0.991935,0.990196,0.774003,0.003781,0.141629,0.981481,0.982456,0.947368,1.0,1.0
34,0.09102,0.991935,0.990196,0.775026,0.003689,0.141677,0.981481,0.982456,0.947368,1.0,1.0
35,0.090892,0.991935,0.990196,0.776023,0.0036,0.141728,0.981481,0.982456,0.947368,1.0,1.0
36,0.09077,0.991935,0.990196,0.776995,0.003515,0.141783,0.981481,0.982456,0.947368,1.0,1.0
37,0.090654,0.991935,0.990196,0.777947,0.003433,0.14184,0.981481,0.982456,0.947368,1.0,1.0
38,0.090542,0.991935,0.990196,0.778879,0.003354,0.141901,0.981481,0.982456,0.947368,1.0,1.0
39,0.090436,0.991935,0.990196,0.779792,0.003277,0.141964,0.981481,0.982456,0.947368,1.0,1.0
40,0.090335,0.991935,0.990196,0.78069,0.003204,0.14203,0.981481,0.982456,0.947368,1.0,1.0
41,0.090238,0.991935,0.990196,0.781571,0.003132,0.142098,0.981481,0.982456,0.947368,1.0,1.0
42,0.090145,0.991935,0.990196,0.782438,0.003063,0.142168,0.981481,0.982456,0.947368,1.0,1.0
43,0.090056,0.991935,0.990196,0.783291,0.002996,0.142241,0.981481,0.982456,0.947368,1.0,1.0
44,0.089971,0.991935,0.990196,0.784131,0.002931,0.142315,0.981481,0.982456,0.947368,1.0,1.0
45,0.08989,0.991935,0.990196,0.784957,0.002868,0.14239,0.981481,0.982456,0.947368,1.0,1.0
46,0.089812,0.991935,0.990196,0.785772,0.002806,0.142467,0.981481,0.982456,0.947368,1.0,1.0
47,0.089737,0.991935,0.990196,0.786574,0.002747,0.142546,0.981481,0.982456,0.947368,1.0,1.0
48,0.089666,0.991935,0.990196,0.787364,0.002689,0.142626,0.981481,0.982456,0.947368,1.0,1.0
49,0.089597,0.991935,0.990196,0.788142,0.002633,0.142706,0.981481,0.982456,0.947368,1.0,1.0
50,0.089531,0.991935,0.990196,0.788909,0.002578,0.142788,0.981481,0.982456,0.947368,1.0,1.0
51,0.089468,0.991935,0.990196,0.789665,0.002524,0.142871,0.981481,0.982456,0.947368,1.0,1.0
52,0.089408,0.991935,0.990196,0.790411,0.002472,0.142954,0.981481,0.982456,0.947368,1.0,1.0
53,0.08935,0.991935,0.990196,0.791145,0.002421,0.143038,0.981481,0.982456,0.947368,1.0,1.0
54,0.089294,0.991935,0.990196,0.791868,0.002372,0.143122,0.981481,0.982456,0.947368,1.0,1.0
55,0.089241,0.991935,0.990196,0.792582,0.002324,0.143207,0.981481,0.982456,0.947368,1.0,1.0
56,0.089189,0.991935,0.990196,0.793284,0.002277,0.143293,0.981481,0.982456,0.947368,1.0,1.0
57,0.08914,0.991935,0.990196,0.793977,0.002231,0.143378,0.981481,0.982456,0.947368,1.0,1.0
58,0.089093,0.991935,0.990196,0.794659,0.002186,0.143464,0.981481,0.982456,0.947368,1.0,1.0
59,0.089047,0.991935,0.990196,0.795331,0.002142,0.14355,0.981481,0.982456,0.947368,1.0,1.0
60,0.089004,0.991935,0.990196,0.795994,0.002099,0.143636,0.981481,0.982456,0.947368,1.0,1.0
61,0.088962,0.991935,0.990196,0.796647,0.002057,0.143722,0.981481,0.982456,0.947368,1.0,1.0
62,0.088922,0.991935,0.990196,0.797289,0.002016,0.143809,0.981481,0.982456,0.947368,1.0,1.0
63,0.088883,0.991935,0.990196,0.797923,0.001976,0.143894,0.981481,0.982456,0.947368,1.0,1.0
64,0.088846,0.991935,0.990196,0.798547,0.001937,0.14398,0.981481,0.982456,0.947368,1.0,1.0
65,0.08881,0.991935,0.990196,0.799161,0.001899,0.144066,0.981481,0.982456,0.947368,1.0,1.0
66,0.088776,0.991935,0.990196,0.799766,0.001862,0.144151,0.981481,0.982456,0.947368,1.0,1.0
67,0.088743,0.991935,0.990196,0.800362,0.001825,0.144236,0.981481,0.982456,0.947368,1.0,1.0
68,0.088711,0.991935,0.990196,0.800949,0.001789,0.144321,0.981481,0.982456,0.947368,1.0,1.0
69,0.088681,1.0,1.0,0.801527,0.001754,0.144405,0.981481,0.982456,0.947368,1.0,1.0
70,0.088651,1.0,1.0,0.802096,0.00172,0.144489,0.981481,0.982456,0.947368,1.0,1.0
71,0.088623,1.0,1.0,0.802656,0.001687,0.144572,0.981481,0.982456,0.947368,1.0,1.0
72,0.088596,1.0,1.0,0.803208,0.001654,0.144655,0.981481,0.982456,0.947368,1.0,1.0
73,0.08857,1.0,1.0,0.803751,0.001622,0.144737,0.981481,0.982456,0.947368,1.0,1.0
74,0.088545,1.0,1.0,0.804285,0.00159,0.144819,0.981481,0.982456,0.947368,1.0,1.0
75,0.088521,1.0,1.0,0.804811,0.001559,0.1449,0.981481,0.982456,0.947368,1.0,1.0
76,0.088498,1.0,1.0,0.805329,0.001529,0.14498,0.981481,0.982456,0.947368,1.0,1.0
77,0.088475,1.0,1.0,0.805839,0.001499,0.14506,0.981481,0.982456,0.947368,1.0,1.0
78,0.088454,1.0,1.0,0.80634,0.00147,0.14514,0.981481,0.982456,0.947368,1.0,1.0
