,class_0,class_1,class_2
alcohol,0.8859,-1.1305,0.2447
malic_acid,0.1358,-0.4378,0.2788
ash,0.4785,-0.8335,0.3529
alcalinity_of_ash,-0.8666,0.6814,0.1933
magnesium,0.1133,-0.1924,0.0958
total_phenols,0.4043,-0.1866,-0.2322
flavanoids,0.7022,0.0968,-0.7926
nonflavanoid_phenols,-0.0459,0.0637,-0.014
proanthocyanins,-0.0542,0.4653,-0.4136
color_intensity,0.2139,-1.0333,0.8314
hue,0.0527,0.6797,-0.7201
od280/od315_of_diluted_wines,0.538,0.0437,-0.5724
proline,1.0041,-1.0868,0.0649
bias,0.0488,0.5688,-0.5982
